src_id,src_lang,tgt_lang
501,写 给 自己 的 第 501 封 信 懂得让步的人是聪明的，这是把决定事态走向的主动权握在了自己手 上。感情对抗战中，赢了面子就输了情分。往往死撑到底的人，都成孤家 寡人。弯腰不是认输，只是为了拾起丢掉的幸福。,"Bức thư viết cho chính mình số 501 Người thông minh là người biết lùi bước, điều này khiến bạn nắm được quyền chủ động quyết định hướng đi của sự việc trong tay. Trong chuyện tình cảm, bạn thẳng thì mất tình, người nào càng cố tranh giành phần thắng thì kết quả cuối cùng đều trở nên cô đơn. Cúi đầu không phải nhận sai mà chỉ là cứu văn hạnh phúc sắp mất mà thôi."
502,写 给 自己 的 第 502 封 信 说到底，女人还是要自强：不容易生病的身体、够用的收入、养心的 爱好、强大的小宇宙。拥有这些不是为了成为女汉子，而是为了搭建平等 的基础。自己穿暖才是真暖，自己真暖之后才有资格相互温暖。,"Bức thư viết cho chính mình số 502 Suy cho cùng, phụ nữ vẫn cần tự lập, cần có sức khỏe tốt, thu nhập đủ tiêu thú vui riêng của bản thân và một thế giới nhỏ bé nhưng mạnh mẽ. Có được những thứ này không phải để biến thành người đàn bà sắt mà để có cơ sở để tạo nên sự bình đẳng. Bản thân mặc ấm mới gọi là ấm thực sự, bản thân phải yêu mới có tư cách làm ấm trái tìm người khác."
503,写 给 自己 的 第 503 封 信 感情就是这样，没有失去你不会成熟，生活也是这样，没有遇到点险 恶，你不会长大。你想要的，老天不一定会给你，你只有努力去争取，别 辜负爱你的人，别辜负你自己。,"Bức thư viết cho chính mình số 503 Tình cảm là như vậy đó, không đánh mất thì không thế trưởng thành. Cuộc sống cũng vậy, nếu bạn không gặp chút nguy hiểm nào thì không thể lớn lên. Thứ bạn muốn, ông trời chưa chắc đã cho bạn. Bạn chỉ có thể cố gắng mà giành lấy, đừng phụ những người yêu bạn và cũng đừng phụ chính bản thân mình, bạn nhé."
504,写 给 自己 的 第 504 封 信 能打动我的从来不是花言巧语，而是恰到好处的温柔以及真挚的内心。,Bức thư viết cho chính mình số 504 Thứ thực sự lay động trái tìm em không phải là những lời nói đường mật mà là sự quan tâm đúng mực và trái tim chân thành của anh.
505,写 给 自己 的 第 505 封 信 这世上最难堪的事不是他不爱你，而是他说很爱很爱你，最后却轻易 地放弃了你。,Bức thư viết cho chính mình số 505 Điều tồi tệ nhất trên đời không phải anh ấy không yêu bạn mà là anh ấy nói yêu bạn rất nhiều rất nhiều nhưng đến cuối cùng lại dễ dàng buông tay bạn chỉ trong một nốt nhạc.
506,写 给 自己 的 第 506 封 信 所谓白头到老，没什么秘诀。只是在相爱时，存下点感动；在冷战 时，懂一些感恩。,"Bức thư viết cho chính mình số 506 Sống với nhau đến đầu bạc răng long không cần bí kíp gì hết, chỉ cần khi yêu nhau giữ lại chút cảm động và lúc chiến tranh lạnh thì luôn nghĩ đến việc biết ơn đối phương. Bức thư viết cho chính mình số 506 Hai người ở bên nhau đừng nên trách đối phương không đủ quan tâm, không lãng mạn, không chủ động. Hai người vốn là hai cá thể riêng biệt, có dung hòa thế nào cũng không thể biến thành một người được. Vì thế chỉ cần thêm một chút nhẫn nại, một chút tỉnh ý, biết cảm ơn và biết hài lòng, có thể bạn sẽ nhận ra đối phương đang dùng cách của bản thân để bày tỏ tình yêu. Hạnh phúc thực sự không khó khăn và khó đoán như bạn nghĩ đâu."
508,写 给 自己 的 第 508 封 信 应该去喜欢能让你觉得自己很美好，由衷感受到温暖的人。而不是让 你低到尘埃里，觉得自己很没用的人。,"Bức thư viết cho chính mình số 508 Nên yêu người khiến bạn cảm thấy mình rất tốt đẹp và cảm thấy ấm áp từ tận đáy lòng chứ không phải người đẩy bạn xuống vũng bùn nhơ nhớp, khiến bạn cảm thấy bản thân thật vô dụng và ngu sỉ."
509,写 给 自己 的 第 509 封 信 你走不进那个人的心里，不一定是你不够努力，而是那个人也不断在 加固心里的那堵墙。,Bức thư viết cho chính mình số 509 Bạn không thế tiến vào trái tỉm một người nhiều khi không phải do bạn không cố gắng mà do người kia không ngừng gia cố bức tường bảo vệ trong trái tìm họ.
510,写 给 自己 的 第 510 封 信 所谓爱，就是当感觉、热情、浪漫统统拿掉之后，你仍然珍惜对方。,"Bức thư viết cho chính mình số 510 Tình yêu là khi mất đi tất cả cảm giác, sự nhiệt tình và lãng mạn mà bạn vẫn còn nguyên sự trân trọng đối phương."
511,写 给 自己 的 第 511 封 信 有时候你放不下一个人，不是因为那个人无可替代，而是因为你在那 个人身上花费了太多的时间精力，一旦分开，就好像自己用时间和青春细 心堆砌的城堡轰然倒塌。,"Bức thư viết cho chính mình số 511 Gó lúc bạn không thể buông một người không phái vì không ai có thể thay thế người ấy mà vì bạn đã tốn rất nhiều thời gian và công sức vì người ấy, một khi chia tay nó giống như bản thân dùng thời gian và thanh xuân xây đắp nên tòa thành hùng vĩ nhưng vốn dĩ đã đổ nát mục rỗng từ bên trong."
